sample_id,total_reads,pass_qc,reads_mapped,reference,percent_reference_coverage,median_coverage,count_minor_snv_at_or_over_5_pct,pass_fail_reason,subtype,mira_module,runid,instrument,clade,short_clade,subclade
3101679000_N90NX5MA_v1,746214,738854,77494,A_NP,100.0,4482,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679000_N90NX5MA_v1,746214,738854,36867,A_NS,97.1,3584,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679000_N90NX5MA_v1,746214,738854,114101,A_PA,100.0,3668,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679000_N90NX5MA_v1,746214,738854,78180,A_PB1,100.0,2796,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679000_N90NX5MA_v1,746214,738854,120911,A_PB2,100.0,4419,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679002_N90NX5MU_v1,728280,720933,92366,A_HA_H3,99.82,4422,2,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,3C.2a1b.2a.2a.3a.1,2a.3a.1,J.2
3101679002_N90NX5MU_v1,728280,720933,116220,A_MP,100.0,9823,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679002_N90NX5MU_v1,728280,720933,64478,A_NA_N2,100.0,3899,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679002_N90NX5MU_v1,728280,720933,63446,A_NP,100.0,3668,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679002_N90NX5MU_v1,728280,720933,38817,A_NS,97.1,3753,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679002_N90NX5MU_v1,728280,720933,109791,A_PA,100.0,3788,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679002_N90NX5MU_v1,728280,720933,80572,A_PB1,100.0,2540,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679002_N90NX5MU_v1,728280,720933,134523,A_PB2,100.0,3583,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679007_N90NX5O8_v1,745614,738329,86368,A_HA_H3,99.82,4175,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,3C.2a1b.2a.2a.3a.1,2a.3a.1,J.2
3101679007_N90NX5O8_v1,745614,738329,116006,A_MP,100.0,9990,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679007_N90NX5O8_v1,745614,738329,80811,A_NA_N2,100.0,4861,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679007_N90NX5O8_v1,745614,738329,63731,A_NP,100.0,3660,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679007_N90NX5O8_v1,745614,738329,38271,A_NS,97.1,3821,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679007_N90NX5O8_v1,745614,738329,115180,A_PA,100.0,4184,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679007_N90NX5O8_v1,745614,738329,95736,A_PB1,99.82,1684,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679007_N90NX5O8_v1,745614,738329,112448,A_PB2,100.0,2297,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679013_N90NX5PW_v1,792108,783939,117245,A_HA_H3,99.82,5733,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,3C.2a1b.2a.2a.3a.1,2a.3a.1,J.2
3101679013_N90NX5PW_v1,792108,783939,120241,A_MP,100.0,10157,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679013_N90NX5PW_v1,792108,783939,89544,A_NA_N2,100.0,5400,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679013_N90NX5PW_v1,792108,783939,73897,A_NP,100.0,4334,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679013_N90NX5PW_v1,792108,783939,46559,A_NS,97.1,4632,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679013_N90NX5PW_v1,792108,783939,114861,A_PA,100.0,4388,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679013_N90NX5PW_v1,792108,783939,87787,A_PB1,100.0,3310,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679013_N90NX5PW_v1,792108,783939,115353,A_PB2,100.0,4401,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679015_N90NX5QG_v1,792804,786052,103475,A_HA_H3,99.82,5010,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,3C.2a1b.2a.2a.3a.1,2a.3a.1,J.2
3101679015_N90NX5QG_v1,792804,786052,132244,A_MP,100.0,11096,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679015_N90NX5QG_v1,792804,786052,89486,A_NA_N2,100.0,5225,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679015_N90NX5QG_v1,792804,786052,67407,A_NP,100.0,3782,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679015_N90NX5QG_v1,792804,786052,35562,A_NS,97.1,3390,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679015_N90NX5QG_v1,792804,786052,133325,A_PA,100.0,4850,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679015_N90NX5QG_v1,792804,786052,89236,A_PB1,100.0,2800,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679015_N90NX5QG_v1,792804,786052,114531,A_PB2,100.0,4182,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679016_N90NX5QQ_v1,713216,706371,83838,A_HA_H3,99.82,3992,2,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,3C.2a1b.2a.2a.3a.1,2a.3a.1,J.2
3101679016_N90NX5QQ_v1,713216,706371,103273,A_MP,100.0,8755,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679016_N90NX5QQ_v1,713216,706371,70772,A_NA_N2,100.0,4226,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679016_N90NX5QQ_v1,713216,706371,56013,A_NP,100.0,3219,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679016_N90NX5QQ_v1,713216,706371,35895,A_NS,97.1,3501,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679016_N90NX5QQ_v1,713216,706371,126111,A_PA,100.0,3899,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679016_N90NX5QQ_v1,713216,706371,95674,A_PB1,100.0,1896,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101679016_N90NX5QQ_v1,713216,706371,108869,A_PB2,100.0,2509,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
